Loaded parameters to layer 'conv1' (shape 50x4x3x3).
Loaded parameters to layer 'conv1' (shape 50).
Loaded parameters to layer 'conv2' (shape 50x50x3x3).
Loaded parameters to layer 'conv2' (shape 50).
Loaded parameters to layer 'nin1' (shape 30x50x1x1).
Loaded parameters to layer 'nin1' (shape 30).
Loaded parameters to layer 'conv3' (shape 50x30x3x3).
Loaded parameters to layer 'conv3' (shape 50).
Loaded parameters to layer 'conv4' (shape 50x50x3x3).
Loaded parameters to layer 'conv4' (shape 50).
Loaded parameters to layer 'nin2' (shape 30x50x1x1).
Loaded parameters to layer 'nin2' (shape 30).
Loaded parameters to layer 'conv5' (shape 50x30x3x3).
Loaded parameters to layer 'conv5' (shape 50).
Loaded parameters to layer 'output' (shape 450x1024).
Loaded parameters to layer 'output' (shape 1024).
# Neural Network with 538934 learnable parameters

## Layer information

  #  name    size
---  ------  --------
  0  input   4x32x32
  1  conv1   50x30x30
  2  conv2   50x28x28
  3  nin1    30x28x28
  4  pool1   30x14x14
  5  conv3   50x12x12
  6  conv4   50x10x10
  7  nin2    30x10x10
  8  pool2   30x5x5
  9  conv5   50x3x3
 10  output  1024

  epoch    trn loss    val loss    trn/val  dur
put mean in middle of segments  2.51812195778
going through lines took (row-col complete):  5.52763605118 sec.
put mean in middle of segments  0.305629014969
going through lines took (row-col complete):  1.51522111893 sec.
put mean in middle of segments  0.587942123413
going through lines took (row-col complete):  1.50098800659 sec.
put mean in middle of segments  1.27360606194
going through lines took (row-col complete):  3.67556405067 sec.
put mean in middle of segments  1.14234399796
going through lines took (row-col complete):  4.22618794441 sec.
put mean in middle of segments  1.88633704185
going through lines took (row-col complete):  6.43121385574 sec.
put mean in middle of segments  1.60974812508
going through lines took (row-col complete):  6.62680721283 sec.
put mean in middle of segments  1.13601493835
going through lines took (row-col complete):  4.29026293755 sec.
put mean in middle of segments  1.3676469326
going through lines took (row-col complete):  3.41323518753 sec.
put mean in middle of segments  0.405609846115
going through lines took (row-col complete):  2.61806797981 sec.
put mean in middle of segments  1.13396310806
going through lines took (row-col complete):  4.16764092445 sec.
put mean in middle of segments  0.445991039276
going through lines took (row-col complete):  2.29443788528 sec.
put mean in middle of segments  1.13725209236
going through lines took (row-col complete):  4.92893695831 sec.
put mean in middle of segments  1.31721997261
going through lines took (row-col complete):  4.18824696541 sec.
put mean in middle of segments  1.01706218719
going through lines took (row-col complete):  2.52593803406 sec.
put mean in middle of segments  1.28449392319
going through lines took (row-col complete):  4.93261194229 sec.
put mean in middle of segments  0.455779075623
